Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Activity,Document,Overview,Category,Productivity
329410-6e8d423d7,,,,,,,,
2014-11-10T13:00:00,783,00:13:03,1,youtube.com,No Details,Reference & Learning,Engineering & Technology,1
2014-11-10T13:00:00,189,00:03:09,1,Skype,No Details,Communication & Scheduling,Voice Chat,1
2014-11-10T13:00:00,133,00:02:13,1,Gmail,No Details,Communication & Scheduling,Email,1
2014-11-10T13:00:00,88,00:01:28,1,evernote,No Details,Business,Intelligence,1
2014-11-10T13:00:00,87,00:01:27,1,github,No Details,Software Development,General Software Development,2
2014-11-10T13:00:00,41,00:00:41,1,github.com,No Details,Software Development,General Software Development,2
2014-11-10T13:00:00,30,00:00:30,1,toggldesktop,No Details,Business,Intelligence,2
2014-11-10T13:00:00,23,00:00:23,1,TextEdit,No Details,Design & Composition,Writing,2
2014-11-10T13:00:00,5,00:00:05,1,calendar,No Details,Communication & Scheduling,Calendars,1
2014-11-10T14:00:00,525,00:08:45,1,writer pro,No Details,Business,Writing,1
2014-11-10T14:00:00,510,00:08:30,1,Gmail,No Details,Communication & Scheduling,Email,1
2014-11-10T14:00:00,425,00:07:05,1,cryptograffiti.info,No Details,Uncategorized,Uncategorized,0
2014-11-10T14:00:00,227,00:03:47,1,youtube.com,No Details,Reference & Learning,Engineering & Technology,1
2014-11-10T14:00:00,220,00:03:40,1,evernote,No Details,Business,Intelligence,1
2014-11-10T14:00:00,206,00:03:26,1,no1ba.blogspot.co.uk,No Details,Uncategorized,Uncategorized,0
2014-11-10T14:00:00,179,00:02:59,1,github.com,No Details,Software Development,General Software Development,2
2014-11-10T14:00:00,122,00:02:02,1,linkedin.com,No Details,Social Networking,Professional Networking,1
2014-11-10T14:00:00,111,00:01:51,1,github,No Details,Software Development,General Software Development,2
2014-11-10T14:00:00,88,00:01:28,1,toggldesktop,No Details,Business,Intelligence,2
2014-11-10T14:00:00,80,00:01:20,1,bitcoin-qt,Timestamping Git Initial Commit,Business,Accounting,2
2014-11-10T14:00:00,74,00:01:14,1,Skype,No Details,Communication & Scheduling,Voice Chat,1
2014-11-10T14:00:00,64,00:01:04,1,Finder,No Details,Utilities,General Utilities,1
2014-11-10T14:00:00,54,00:00:54,1,Google Hangouts,No Details,Communication & Scheduling,Instant Message,2
2014-11-10T14:00:00,32,00:00:32,1,Twitter,No Details,Social Networking,Professional Networking,1
2014-11-10T14:00:00,24,00:00:24,1,fossa.inria.fr,No Details,Uncategorized,Uncategorized,0
2014-11-10T14:00:00,24,00:00:24,1,keybase.io,No Details,Uncategorized,Uncategorized,0
2014-11-10T14:00:00,22,00:00:22,1,quantifiedself.com,No Details,Business,Intelligence,2
2014-11-10T14:00:00,8,00:00:08,1,rescuetime.com,No Details,Business,Intelligence,1
2014-11-10T14:00:00,4,00:00:04,1,newtab,No Details,Utilities,Browsers,1
2014-11-10T14:00:00,1,00:00:01,1,en.wikipedia.org,No Details,Reference & Learning,General Reference & Learning,1
2014-11-10T15:00:00,1219,00:20:19,1,Google Hangouts,No Details,Communication & Scheduling,Instant Message,2
2014-11-10T15:00:00,300,00:05:00,1,Phone call (offline),With stephane on google hangout (offline),Communication & Scheduling,Voice Chat,1
2014-11-10T15:00:00,185,00:03:05,1,github.com,No Details,Software Development,General Software Development,2
2014-11-10T15:00:00,145,00:02:25,1,evernote,No Details,Business,Intelligence,1
2014-11-10T15:00:00,48,00:00:48,1,writer pro,No Details,Business,Writing,1
2014-11-10T15:00:00,16,00:00:16,1,toggldesktop,No Details,Business,Intelligence,2
2014-11-10T15:00:00,4,00:00:04,1,Gmail,No Details,Communication & Scheduling,Email,1
2014-11-10T15:00:00,2,00:00:02,1,Skype,No Details,Communication & Scheduling,Voice Chat,1
